iter	Passed	Remaining
0	0	88
1	1	79
2	2	73
3	2	68
4	3	66
5	4	64
6	4	64
7	5	65
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	10	61
14	10	61
15	11	60
16	12	59
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	16	53
23	16	53
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	21	49
30	22	49
31	22	48
32	23	47
33	24	47
34	24	46
35	25	45
36	26	44
37	27	44
38	28	43
39	28	43
40	29	42
41	29	40
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	63	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
